Characteristic,Value
"Cases, n","2,708"
"Age, y — median (IQR)",61 (51–69)
"Male sex, n (%)","1,555 (57%)"
"BMI, kg/m² — median (IQR)",23.0 (20.9–25.2)
"Anesthesia duration, min — median (IQR)",235 (174–318)
"ASA I–II, n (%)","2,254 (83%)"
Top departments,General surgery 1629; Thoracic surgery 912; Gynecology 91
"Forecast windows, n","47,642"
"Hypotension prevalence @1 min, %",5.4
"Hypotension prevalence @5 min, %",10.6
"Hypotension prevalence @10 min, %",15.0
"Hypotension prevalence @15 min, %",18.4
